timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741721703641,1002,Facebook Feed,200,OK,Thread Group 1-1,text,true,,69118,422,19,19,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,277,0,0
1741721703641,277,Facebook Feed-0,301,Moved Permanently,Thread Group 1-1,text,true,,518,134,19,19,https://facebook.com/?filter=all&sk=h_chr,277,0,0
1741721703918,259,Facebook Feed-1,302,Found,Thread Group 1-1,text,true,,908,138,19,19,https://www.facebook.com/?filter=all&sk=h_chr,259,0,0
1741721704177,466,Facebook Feed-2,200,OK,Thread Group 1-1,text,true,,67692,150,19,19,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,369,0,0
1741721703494,1153,Facebook Groups,200,OK,Thread Group 1-6,text,true,,82704,398,19,19,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,279,0,0
1741721703494,279,Facebook Groups-0,301,Moved Permanently,Thread Group 1-6,text,true,,510,126,19,19,https://facebook.com/groups/feed/,279,0,0
1741721703774,286,Facebook Groups-1,302,Found,Thread Group 1-6,text,true,,889,130,19,19,https://www.facebook.com/groups/feed/,286,0,0
1741721704060,587,Facebook Groups-2,200,OK,Thread Group 1-6,text,true,,81305,142,19,19,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,490,0,0
1741721703135,1609,Friend Request,200,OK,Thread Group 1-12,text,true,,70907,556,20,20,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,357,0,66
1741721703135,357,Friend Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,505,121,20,20,https://facebook.com/friends,357,0,66
1741721703493,344,Friend Request-1,302,Found,Thread Group 1-12,text,true,,884,125,20,20,https://www.facebook.com/friends,344,0,65
1741721703838,351,Friend Request-2,302,Found,Thread Group 1-12,text,true,,2009,137,20,20,https://web.facebook.com/friends?_rdc=1&_rdr,351,0,83
1741721704189,555,Friend Request-3,200,OK,Thread Group 1-12,text,true,,67509,173,20,20,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,487,0,0
1741721703336,1518,Friend Request,200,OK,Thread Group 1-13,text,true,,71276,556,20,20,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,358,0,97
1741721703336,358,Friend Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,505,121,20,20,https://facebook.com/friends,358,0,97
1741721703695,330,Friend Request-1,302,Found,Thread Group 1-13,text,true,,884,125,20,20,https://www.facebook.com/friends,330,0,68
1741721704026,375,Friend Request-2,302,Found,Thread Group 1-13,text,true,,2089,137,20,20,https://web.facebook.com/friends?_rdc=1&_rdr,375,0,84
1741721704401,453,Friend Request-3,200,OK,Thread Group 1-13,text,true,,67798,173,20,20,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,417,0,0
1741721703723,1153,Facebook Groups,200,OK,Thread Group 1-7,text,true,,82689,398,20,20,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,269,0,0
1741721703723,269,Facebook Groups-0,301,Moved Permanently,Thread Group 1-7,text,true,,510,126,20,20,https://facebook.com/groups/feed/,269,0,0
1741721703992,304,Facebook Groups-1,302,Found,Thread Group 1-7,text,true,,889,130,20,20,https://www.facebook.com/groups/feed/,304,0,0
1741721704296,580,Facebook Groups-2,200,OK,Thread Group 1-7,text,true,,81290,142,20,20,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,529,0,0
1741721703788,1095,Facebook Groups,200,OK,Thread Group 1-8,text,true,,82694,398,20,20,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,258,0,0
1741721703788,258,Facebook Groups-0,301,Moved Permanently,Thread Group 1-8,text,true,,510,126,20,20,https://facebook.com/groups/feed/,258,0,0
1741721704046,269,Facebook Groups-1,302,Found,Thread Group 1-8,text,true,,889,130,20,20,https://www.facebook.com/groups/feed/,269,0,0
1741721704315,568,Facebook Groups-2,200,OK,Thread Group 1-8,text,true,,81295,142,20,20,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,515,0,0
1741721703924,1046,Facebook Feed,200,OK,Thread Group 1-3,text,true,,69355,422,21,21,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,279,0,0
1741721703924,279,Facebook Feed-0,301,Moved Permanently,Thread Group 1-3,text,true,,518,134,21,21,https://facebook.com/?filter=all&sk=h_chr,279,0,0
1741721704203,271,Facebook Feed-1,302,Found,Thread Group 1-3,text,true,,884,138,21,21,https://www.facebook.com/?filter=all&sk=h_chr,271,0,0
1741721704474,496,Facebook Feed-2,200,OK,Thread Group 1-3,text,true,,67953,150,21,21,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,393,0,0
1741721703736,1466,Friend Request,200,OK,Thread Group 1-15,text,true,,70931,556,22,22,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,324,0,66
1741721703736,324,Friend Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,505,121,22,22,https://facebook.com/friends,324,0,66
1741721704061,361,Friend Request-1,302,Found,Thread Group 1-15,text,true,,884,125,22,22,https://www.facebook.com/friends,361,0,74
1741721704422,378,Friend Request-2,302,Found,Thread Group 1-15,text,true,,2009,137,22,22,https://web.facebook.com/friends?_rdc=1&_rdr,378,0,102
1741721704801,401,Friend Request-3,200,OK,Thread Group 1-15,text,true,,67533,173,22,22,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,380,0,0
1741721704185,1035,Facebook Feed,200,OK,Thread Group 1-4,text,true,,69087,422,22,22,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,275,0,0
1741721704185,275,Facebook Feed-0,301,Moved Permanently,Thread Group 1-4,text,true,,518,134,22,22,https://facebook.com/?filter=all&sk=h_chr,275,0,0
1741721704460,300,Facebook Feed-1,302,Found,Thread Group 1-4,text,true,,884,138,22,22,https://www.facebook.com/?filter=all&sk=h_chr,300,0,0
1741721704760,460,Facebook Feed-2,200,OK,Thread Group 1-4,text,true,,67685,150,22,22,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,329,0,0
1741721703998,1325,Facebook Groups,200,OK,Thread Group 1-9,text,true,,82693,398,22,22,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,274,0,0
1741721703998,274,Facebook Groups-0,301,Moved Permanently,Thread Group 1-9,text,true,,510,126,22,22,https://facebook.com/groups/feed/,274,0,0
1741721704272,310,Facebook Groups-1,302,Found,Thread Group 1-9,text,true,,889,130,22,22,https://www.facebook.com/groups/feed/,310,0,0
1741721704582,741,Facebook Groups-2,200,OK,Thread Group 1-9,text,true,,81294,142,22,22,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,560,0,0
1741721704440,1053,Facebook Feed,200,OK,Thread Group 1-5,text,true,,69091,422,23,23,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,265,0,0
1741721704440,265,Facebook Feed-0,301,Moved Permanently,Thread Group 1-5,text,true,,518,134,23,23,https://facebook.com/?filter=all&sk=h_chr,265,0,0
1741721704705,293,Facebook Feed-1,302,Found,Thread Group 1-5,text,true,,884,138,23,23,https://www.facebook.com/?filter=all&sk=h_chr,293,0,0
1741721704998,495,Facebook Feed-2,200,OK,Thread Group 1-5,text,true,,67689,150,23,23,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,422,0,0
1741721703936,1560,Friend Request,200,OK,Thread Group 1-16,text,true,,72935,556,23,23,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,336,0,63
1741721703936,336,Friend Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,505,121,23,23,https://facebook.com/friends,336,0,63
1741721704272,351,Friend Request-1,302,Found,Thread Group 1-16,text,true,,884,125,23,23,https://www.facebook.com/friends,351,0,81
1741721704623,390,Friend Request-2,302,Found,Thread Group 1-16,text,true,,4029,137,23,23,https://web.facebook.com/friends?_rdc=1&_rdr,390,0,83
1741721705013,483,Friend Request-3,200,OK,Thread Group 1-16,text,true,,67517,173,23,23,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,413,0,0
1741721703536,2224,Friend Request,200,OK,Thread Group 1-14,text,true,,72927,556,25,25,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,340,0,74
1741721703536,340,Friend Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,505,121,25,25,https://facebook.com/friends,340,0,74
1741721703876,342,Friend Request-1,302,Found,Thread Group 1-14,text,true,,884,125,25,25,https://www.facebook.com/friends,342,0,71
1741721704218,421,Friend Request-2,302,Found,Thread Group 1-14,text,true,,4029,137,25,25,https://web.facebook.com/friends?_rdc=1&_rdr,421,0,88
1741721704639,1121,Friend Request-3,200,OK,Thread Group 1-14,text,true,,67509,173,25,25,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,783,0,0
1741721704136,1626,Friend Request,200,OK,Thread Group 1-17,text,true,,70897,556,25,25,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,340,0,78
1741721704136,340,Friend Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,505,121,25,25,https://facebook.com/friends,340,0,78
1741721704476,352,Friend Request-1,302,Found,Thread Group 1-17,text,true,,884,125,25,25,https://www.facebook.com/friends,352,0,83
1741721704828,426,Friend Request-2,302,Found,Thread Group 1-17,text,true,,2004,137,25,25,https://web.facebook.com/friends?_rdc=1&_rdr,426,0,112
1741721705254,508,Friend Request-3,200,OK,Thread Group 1-17,text,true,,67504,173,25,25,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,368,0,0
1741721704475,1297,Facebook Groups,200,OK,Thread Group 1-11,text,true,,83000,398,25,25,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,268,0,0
1741721704475,268,Facebook Groups-0,301,Moved Permanently,Thread Group 1-11,text,true,,510,126,25,25,https://facebook.com/groups/feed/,268,0,0
1741721704744,286,Facebook Groups-1,302,Found,Thread Group 1-11,text,true,,1174,130,25,25,https://www.facebook.com/groups/feed/,286,0,0
1741721705030,742,Facebook Groups-2,200,OK,Thread Group 1-11,text,true,,81316,142,25,25,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,605,0,0
1741721704647,1134,Facebook Feed,200,OK,Thread Group 1-6,text,true,,69370,422,25,25,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,267,0,0
1741721704647,267,Facebook Feed-0,301,Moved Permanently,Thread Group 1-6,text,true,,518,134,25,25,https://facebook.com/?filter=all&sk=h_chr,267,0,0
1741721704914,280,Facebook Feed-1,302,Found,Thread Group 1-6,text,true,,884,138,25,25,https://www.facebook.com/?filter=all&sk=h_chr,280,0,0
1741721705194,587,Facebook Feed-2,200,OK,Thread Group 1-6,text,true,,67968,150,25,25,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,442,0,0
1741721704855,1146,Facebook Groups,200,OK,Thread Group 1-13,text,true,,83007,398,26,26,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,279,0,0
1741721704855,279,Facebook Groups-0,301,Moved Permanently,Thread Group 1-13,text,true,,510,126,26,26,https://facebook.com/groups/feed/,279,0,0
1741721705134,287,Facebook Groups-1,302,Found,Thread Group 1-13,text,true,,1198,130,26,26,https://www.facebook.com/groups/feed/,287,0,0
1741721705421,580,Facebook Groups-2,200,OK,Thread Group 1-13,text,true,,81299,142,26,26,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,469,0,0
1741721704747,1347,Facebook Groups,200,OK,Thread Group 1-12,text,true,,82704,398,26,26,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,285,0,0
1741721704747,285,Facebook Groups-0,301,Moved Permanently,Thread Group 1-12,text,true,,510,126,26,26,https://facebook.com/groups/feed/,285,0,0
1741721705032,291,Facebook Groups-1,302,Found,Thread Group 1-12,text,true,,889,130,26,26,https://www.facebook.com/groups/feed/,291,0,0
1741721705323,771,Facebook Groups-2,200,OK,Thread Group 1-12,text,true,,81305,142,26,26,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,500,0,0
1741721704884,1246,Facebook Feed,200,OK,Thread Group 1-8,text,true,,69100,422,26,26,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,271,0,0
1741721704884,271,Facebook Feed-0,301,Moved Permanently,Thread Group 1-8,text,true,,518,134,26,26,https://facebook.com/?filter=all&sk=h_chr,271,0,0
1741721705155,275,Facebook Feed-1,302,Found,Thread Group 1-8,text,true,,884,138,26,26,https://www.facebook.com/?filter=all&sk=h_chr,275,0,0
1741721705430,700,Facebook Feed-2,200,OK,Thread Group 1-8,text,true,,67698,150,26,26,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,412,0,0
1741721704742,1755,Friend Request,200,OK,Thread Group 1-20,text,true,,71196,556,28,28,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,340,0,75
1741721704742,340,Friend Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,505,121,28,28,https://facebook.com/friends,340,0,75
1741721705082,363,Friend Request-1,302,Found,Thread Group 1-20,text,true,,884,125,28,28,https://www.facebook.com/friends,363,0,70
1741721705445,398,Friend Request-2,302,Found,Thread Group 1-20,text,true,,2009,137,28,28,https://web.facebook.com/friends?_rdc=1&_rdr,398,0,83
1741721705844,653,Friend Request-3,200,OK,Thread Group 1-20,text,true,,67798,173,28,28,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,398,0,0
1741721704613,1955,Facebook Marketplace,200,OK,Thread Group 1-2,text,true,,428404,436,29,29,https://web.facebook.com/marketplace/?ref=bookmark&_rdc=1&_rdr,420,0,156
1741721704613,420,Facebook Marketplace-0,301,Moved Permanently,Thread Group 1-2,text,true,,469,138,29,29,https://faceboo.com/marketplace/?ref=bookmark,420,0,156
1741721705033,290,Facebook Marketplace-1,302,Found,Thread Group 1-2,text,true,,902,143,29,29,https://www.facebook.com/marketplace/?ref=bookmark,290,0,0
1741721705323,1245,Facebook Marketplace-2,200,OK,Thread Group 1-2,text,true,,427033,155,29,29,https://web.facebook.com/marketplace/?ref=bookmark&_rdc=1&_rdr,392,0,0
1741721705324,1246,Facebook Feed,200,OK,Thread Group 1-9,text,true,,69110,422,29,29,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,319,0,0
1741721705324,319,Facebook Feed-0,301,Moved Permanently,Thread Group 1-9,text,true,,518,134,29,29,https://facebook.com/?filter=all&sk=h_chr,319,0,0
1741721705643,304,Facebook Feed-1,302,Found,Thread Group 1-9,text,true,,908,138,29,29,https://www.facebook.com/?filter=all&sk=h_chr,304,0,0
1741721705947,623,Facebook Feed-2,200,OK,Thread Group 1-9,text,true,,67684,150,29,29,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,363,0,0
